Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Unnamed: 26,Unnamed: 27,Unnamed: 28,verify_strain,stand_strain,unique_chemicals,stand_strain_bin,pIC50
CHEMBL4759714,,,509.58,1.0,3.63,106,Nc1ccc(C[C@@H](N)C(=O)N2CC(CNc3ccc(F)cc3)C3(C2)CN(c2cc(F)cc(F)c2)C3)cc1,IC50,'=',33.0,nM,7.48,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,7.48
CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,CQ,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',63.0,nM,7.2,,,UO_0000065,0,CHEMBL4013661,assay format,,CHEMBL4011644,1,Scientific Literature,J Med Chem,,Gametocytocidal activity against transgenic GFP-fused Plasmodium falciparum NF54 early stage gametocytes after 72 hrs by Mitotracker Red CMH2XRos staining based confocal microscopic method,,,,NF54,NF54,,NF54,7.2
CHEMBL4791133,,,800.27,2.0,5.89,5,CN[C@@H](CCN(C)CCc1cc(OC)c(Br)cc1Br)C(=O)NCCCN(C)CCc1cc(OC)c(Br)cc1Br,IC50,'=',1600.0,nM,5.8,,,UO_0000065,0,CHEMBL4704471,organism-based format,,CHEMBL4699594,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 ring stage incubated for 72 hrs by DAPI-staining based imaging analysis,,,,3D7,3D7,,3D7,5.8
CHEMBL469912,PUROMYCIN,2.0,471.52,1.0,-0.79,Puromycin,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,IC50,'=',60.0,nM,7.22,,,UO_0000065,0,CHEMBL4150765,organism-based format,,CHEMBL4145643,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against drug-sensitive Plasmodium falciparum 3D7 ring stage infected in human erythrocytes after 72 hrs by DAPI staining based method,,,,3D7,3D7,,3D7,7.22
CHEMBL4756352,,,496.53,0.0,3.89,97,N[C@@H](C(=O)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1cc(F)cc(F)c1)C2)c1ccc(O)cc1,IC50,'=',82.0,nM,7.09,,,UO_0000065,0,CHEMBL4737844,organism-based format,,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against asexual stage (V) Plasmodium falciparum NF54 gametocytes assessed as inhibition of exflagellation of male gametes measured at 15 to 22.5 min by microscopic based analysis,,,,NF54,NF54,,NF54,7.09
CHEMBL4090056,,,531.72,1.0,1.52,Carmaphycin B,CCCCCC(=O)N[C@H](C(=O)N[C@@H](CCS(C)(=O)=O)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1)C(C)C,IC50,'=',160.0,nM,6.8,,,UO_0000065,0,CHEMBL4040348,cell-based format,,CHEMBL4038319,1,Scientific Literature,J Med Chem,,Antimalarial activity against stage V gametocytes of Plasmodium falciparum NF54 infected in human erythrocytes after 72 hrs by mitotracker red based bioluminescence assay,,,,NF54,NF54,,NF54,6.8
CHEMBL4543126,,,389.29,0.0,2.85,29,Cc1n(CC(C)C)c2c([n+]1C1CC1)C(=O)c1ccccc1C2=O.[Br-],IC50,'=',832.0,nM,6.08,,,UO_0000065,0,CHEMBL4338839,organism-based format,,CHEMBL4334542,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against Plasmodium falciparum NF54 late gametocytes transfected with luciferase gene incubated for 48 hrs by luciferase reporter gene assay,,,,NF54,NF54,,NF54,6.08
CHEMBL4456232,,,489.5,1.0,5.66,34,CCCCCCCCCC[n+]1c2c(n(CC(C)C)c1C)C(=O)c1ccccc1C2=O.[Br-],IC50,'=',237.0,nM,6.62,,,UO_0000065,0,CHEMBL4338839,organism-based format,,CHEMBL4334542,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against Plasmodium falciparum NF54 late gametocytes transfected with luciferase gene incubated for 48 hrs by luciferase reporter gene assay,,,,NF54,NF54,,NF54,6.63
CHEMBL394241,,,420.51,0.0,4.93,12,CC(C)(C)OC(=O)N1CCN(c2cc(-c3ccc(Oc4ccccc4)cc3)n[nH]2)CC1,IC50,'=',8100.0,nM,5.09,,,UO_0000065,0,CHEMBL901502,organism-based format,L6,CHEMBL1138251,1,Scientific Literature,J Med Chem,CHEMBL3308469,"Antiparasitic activity against chloroquine, pyrimethamine-resistant Plasmodium falciparum K1 erythrocyte stage infected rat L6 cells",,,,K1,K1,,K1,5.09
CHEMBL4242609,,,380.92,1.0,5.36,26,Clc1cc(-c2ccccc2)ccc1-c1ccc(CNCC2CCNCC2)o1,IC50,'=',1400.0,nM,5.85,,,UO_0000065,0,CHEMBL4231438,organism-based format,,CHEMBL4229360,1,Scientific Literature,Eur J Med Chem,,Gametocytocidal activity against Plasmodium falciparum 3D7 elo1-pfs16-CBG99 late-stage (4 to 5) gametocytes assessed as inhibition of parasite viability after 72 hrs by luciferase reporter assay,,,,3D7,3D7,,3D7,5.85
CHEMBL4241601,,,300.4,0.0,3.04,11,COc1ccccc1-c1ccc(CNCC2CCNCC2)o1,IC50,'=',11800.0,nM,4.93,,,UO_0000065,0,CHEMBL4231438,organism-based format,,CHEMBL4229360,1,Scientific Literature,Eur J Med Chem,,Gametocytocidal activity against Plasmodium falciparum 3D7 elo1-pfs16-CBG99 late-stage (4 to 5) gametocytes assessed as inhibition of parasite viability after 72 hrs by luciferase reporter assay,,,,3D7,3D7,,3D7,4.93
CHEMBL475085,,,544.66,1.0,3.43,NA47,OC[C@H]1O[C@@H](n2cnc3c(NCCC(c4ccccc4)c4ccccc4)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O,IC50,'=',3280.0,nM,5.48,,,UO_0000065,0,CHEMBL941604,organism-based format,,CHEMBL1137633,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1 infected mice (Mus musculus) macrophage by reporter dye assay,,,,K1,K1,,K1,5.48
CHEMBL495622,,,426.35,0.0,4.86,3f,OC[C@H](OCc1ccccc1)[C@@H](NCc1ccccc1)c1ccccc1Br,IC50,'=',10460.0,nM,4.98,,,UO_0000065,0,CHEMBL1004946,organism-based format,,CHEMBL1136969,1,Scientific Literature,J Med Chem,,Antiplasmodial activity after 48 hrs against chloroquine-sensitive Plasmodium falciparum D10 infected human erythrocytes by LDH reporter assay,,,,D10,D10,,D10,4.98
CHEMBL496027,,,315.41,0.0,3.18,3j,CCCN[C@@H](c1ccc(OC)cc1)[C@H](CO)Oc1ccccc1,IC50,'=',16420.0,nM,4.79,,,UO_0000065,0,CHEMBL1004946,organism-based format,,CHEMBL1136969,1,Scientific Literature,J Med Chem,,Antiplasmodial activity after 48 hrs against chloroquine-sensitive Plasmodium falciparum D10 infected human erythrocytes by LDH reporter assay,,,,D10,D10,,D10,4.78
CHEMBL498037,,,327.42,0.0,3.88,4j,CCCN1COC[C@@H](Oc2ccccc2)[C@H]1c1ccc(OC)cc1,IC50,'=',87080.0,nM,4.06,,,UO_0000065,0,CHEMBL1004946,organism-based format,,CHEMBL1136969,1,Scientific Literature,J Med Chem,,Antiplasmodial activity after 48 hrs against chloroquine-sensitive Plasmodium falciparum D10 infected human erythrocytes by LDH reporter assay,,,,D10,D10,,D10,4.06
CHEMBL522210,,,341.5,0.0,4.2,5,Cc1ccc([C@@H]([C@H](CO)OCc2ccccc2)N(C)CC(C)C)cc1,IC50,'=',81970.0,nM,4.09,,,UO_0000065,0,CHEMBL1004946,organism-based format,,CHEMBL1136969,1,Scientific Literature,J Med Chem,,Antiplasmodial activity after 48 hrs against chloroquine-sensitive Plasmodium falciparum D10 infected human erythrocytes by LDH reporter assay,,,,D10,D10,,D10,4.09
CHEMBL505624,CORDYHEPTAPEPTIDE A,,880.1,1.0,3.08,15,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(C)C(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)NC1=O,IC50,'=',3800.0,nM,5.42,,,UO_0000065,0,CHEMBL925678,organism-based format,,CHEMBL1141306,1,Scientific Literature,J Nat Prod,,Antimalarial activity against multidrug-resistant Plasmodium falciparum K1,,,,K1,K1,,K1,5.42
CHEMBL537905,,,503.52,0.0,3.95,26,Cl.Cl.N=C(NC1CCC1)c1ccc(N2CCN(c3ccc(C(=N)NC4CCC4)cc3)CC2)cc1,IC50,'=',7.0,nM,8.15,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,8.15
CHEMBL540380,,,507.55,0.0,4.02,25,CCCC/N=C(/N)c1ccc(N2CCN(c3ccc(/C(N)=N\CCCC)cc3)CC2)cc1.Cl.Cl,IC50,'=',19.0,nM,7.72,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,7.72
CHEMBL2316803,,,422.96,0.0,4.98,72a Hybrid-13,CN(C)c1ccc(/C=C/C(=O)NCCCCNc2ccnc3cc(Cl)ccc23)cc1,IC50,'=',11.0,nM,7.96,,,UO_0000065,0,CHEMBL4193441,organism-based format,,CHEMBL4190314,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against synchronous culture of Plasmodium falciparum W2 ring stage infected in human erythrocytes after 48 hrs by flow cytometry,,,,W2,W2,,W2,7.96
CHEMBL185172,,,374.44,0.0,3.41,4,N=C(N)c1ccc(COc2ccccc2OCc2ccc(C(=N)N)cc2)cc1,IC50,'=',671.0,nM,6.17,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,6.17
CHEMBL4224867,,,481.55,1.0,5.34,C-12,CCN(CC)c1ccc2cc(C3=NN(C(=O)c4ccccc4)C(c4ccc(O)cc4)C3)c(=O)oc2c1,IC50,'=',14300.0,nM,4.84,,,UO_0000065,0,CHEMBL4223065,cell-based format,,CHEMBL4219189,1,Scientific Literature,Bioorg Med Chem Lett,,Inhibition of chloroquine sensitive Plasmodium falciparum MRC-02 schizont stage infected in human erythrocytes assessed as reduction in bacterial growth after 24 hrs by Giemsa staining based assay,,,,MRC-02,MRC-02,,MRC-2,4.84
CHEMBL1650038,SIMALIKALACTONE E,,578.66,2.0,1.1,SkE,CC[C@H](C)C(=O)O[C@@H]1[C@H]2C(C)=CC(=O)[C@@H](O)[C@]2(C)[C@H]2[C@@H](O)[C@H](O)[C@@]3(C)OC[C@@]24[C@@H]1OC(=O)[C@H](OC(=O)[C@@H](C)CC)[C@@H]34,IC50,'=',1120.0,nM,5.95,,,UO_0000065,0,CHEMBL1653656,organism-based format,,CHEMBL1649241,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum W2 gametocytes assessed as suppression of parasitemia after 4 hrs by Giemsa staining,,,,W2,W2,,W2,5.95
CHEMBL1588046,,,279.35,0.0,3.33,62221,Cc1cc(C)nc(-n2nc(C)cc2Nc2ccccc2)n1,IC50,'=',220.0,nM,6.66,,,UO_0000065,0,CHEMBL3832784,organism-based format,,CHEMBL3832761,34,Medicines for Malaria Venture () Pathogen Box,,,Antimalarial activity: Gametocytes Plasmodium falciparum NF54 Gametocytes Stage V IC50 (uM),,,,NF54,NF54,,NF54,6.66
CHEMBL416956,MEFLOQUINE,4.0,378.32,0.0,4.45,mefloquine,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,IC50,'=',12.29,nM,7.91,,,UO_0000065,0,CHEMBL910395,organism-based format,,CHEMBL1142194,1,Scientific Literature,Antimicrob Agents Chemother,,Growth inhibition of Plasmodium falciparum 3D7 ring stage in infected erythrocytes after 72 hrs in DAPI fluorimetry,,,,3D7,3D7,,3D7,7.91
CHEMBL524065,,,462.42,1.0,7.34,4g,Clc1cccc(C(Nc2ccnc3cc(Cl)ccc23)c2ccc(CN3CCCC3)cc2)c1,IC50,'=',21.0,nM,7.68,,,UO_0000065,0,CHEMBL1012851,organism-based format,,CHEMBL1139381,1,Scientific Literature,J Med Chem,,Antimalarial activity after 72 hrs against chloroquine-sensitive Plasmodium falciparum D10 infected human A+ erythrocytes in Makler LDH reporter assay,,,,D10,D10,,D10,7.68
CHEMBL1673246,,,274.19,0.0,4.33,7,CCCN(CC1CC1)c1cc(Cl)cc(Cl)c1O,IC50,'=',330.0,nM,6.48,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,6.48
CHEMBL1673247,,,255.36,0.0,4.2,9,CCCCN(Cc1ccccc1)c1ccccc1O,IC50,'=',420.0,nM,6.38,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,6.38
CHEMBL1673249,,,371.07,0.0,4.55,11,CN(Cc1ccccc1)c1cc(Br)cc(Br)c1O,IC50,'=',680.0,nM,6.17,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,6.17
CHEMBL1673252,,,288.71,0.0,3.78,14,Oc1c(Cl)cccc1C1=NN=C(c2ccc(F)cc2)C1,IC50,'=',1500.0,nM,5.82,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,5.82
CHEMBL1348834,,,314.86,0.0,4.09,17,Clc1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,IC50,'=',250.0,nM,6.6,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,6.6
CHEMBL1673262,,,340.47,0.0,3.82,26,COc1cc(NC2CCN(CCc3ccccc3)CC2)cc(OC)c1,IC50,'=',1200.0,nM,5.92,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,5.92
CHEMBL577736,TYROTHRICIN,4.0,1228.46,,,Tyrothricin,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,IC50,'=',0.05,nM,10.3,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,10.3
CHEMBL3707183,QUINIDINE SULFATE,4.0,782.96,0.0,3.17,Quinidine sulfate,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O,IC50,'=',56.0,nM,7.25,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,7.25
CHEMBL1673273,,,449.55,1.0,5.73,Am-5,O=C(Nc1ccccc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,IC50,'=',7300.0,nM,5.14,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,5.14
CHEMBL1673279,,,343.42,0.0,4.54,Am-9,O=C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,IC50,'=',5400.0,nM,5.27,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,5.27
CHEMBL556397,,,479.5,0.0,3.66,22,CCCNC(=N)c1ccc(N2CCN(c3ccc(C(=N)NCCC)cc3)CC2)cc1.Cl.Cl,IC50,'=',29.0,nM,7.54,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,7.54
CHEMBL537230,,,535.61,0.0,4.94,28,CC(C)CCNC(=N)c1ccc(N2CCN(c3ccc(C(=N)NCCC(C)C)cc3)CC2)cc1.Cl.Cl,IC50,'=',42.0,nM,7.38,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,7.38
CHEMBL5093798,,,453.93,0.0,1.67,JX35,Cl.Cn1cc(CN2CC3(CCN(c4ncc(C(=O)NO)cn4)C3)C2)c2ccc(C#N)cc21,IC50,'=',15.38,nM,7.81,,,UO_0000065,0,CHEMBL5048717,organism-based format,,CHEMBL5046276,1,Scientific Literature,J Med Chem,,Antimalarial activity against early stage (II) Plasmodium falciparum NF54 gametocytes transfected with p230p-Luc assessed as reduction in gametocyte viability incubated for 48 hrs by luciferase reporter gene based bioluminescence assay,,,,NF54,NF54,,NF54,7.81
CHEMBL361497,ARTESUNATE,4.0,384.43,0.0,2.6,Artesunate,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',12.0,nM,7.92,,,UO_0000065,0,CHEMBL3377850,organism-based format,,CHEMBL3351935,1,Scientific Literature,Bioorg Med Chem Lett,,Antigametocytocidal activity against Plasmodium falciparum NF54-pfs16-GPF late (4 to 6) gametocyte assessed as viability after 72 hrs by MitoTracker Red CM-H2XRos/micro-plate confocal imaging system,,,,NF54,NF54,,NF54,7.92
CHEMBL591183,,,425.96,0.0,4.84,788,CC(C)OCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,IC50,'=',573.2,nM,6.24,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.24
CHEMBL577874,,,391.41,0.0,4.14,6303,CCN(CC)CCNc1ccnc2cc3ccccc3cc12.O=P(O)(O)O,IC50,'=',464.9,nM,6.33,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.33
CHEMBL605281,,,434.56,1.0,5.33,662,COc1ccc(NC(=O)C2c3ccccc3C(=O)N(CC(C)C)C2c2cccs2)cc1,IC50,'=',1258.0,nM,5.9,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.9
CHEMBL1738986,,,393.31,0.0,4.23,396736,OC(CNCC1CCCO1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,IC50,'=',733.6,nM,6.13,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.13
CHEMBL3799588,,,420.39,1.0,5.14,34,Nc1ccc(-c2ccc3ncc4[nH]c(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cc1,IC50,'=',3270.0,nM,5.49,,,UO_0000065,0,CHEMBL3800921,organism-based format,,CHEMBL3797182,1,Scientific Literature,Bioorg Med Chem Lett,,Gametocytocidal activity against chloroquine-sensitive late gametocytic stage (III to V) of Plasmodium falciparum 3D7 after 72 hrs by Alamar Blue assay,,,,3D7,3D7,,3D7,5.49
CHEMBL4756352,,,496.53,0.0,3.89,97,N[C@@H](C(=O)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1cc(F)cc(F)c1)C2)c1ccc(O)cc1,IC50,'=',14.0,nM,7.85,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,7.85
CHEMBL4755397,,,510.56,1.0,3.76,105,N[C@H](Cc1ccc(O)cc1)C(=O)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1cc(F)cc(F)c1)C2,IC50,'=',14.0,nM,7.85,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,7.85
CHEMBL4764956,,,427.55,0.0,4.01,"1-A, Single Enantiomer",O=C(Cc1ccc(O)cc1)N1CC(CNc2ccccc2)C2(C1)CN(c1ccccc1)C2,IC50,'=',140.0,nM,6.85,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,6.85
CHEMBL4743418,,,399.54,0.0,4.44,"2-A, Single Enantiomer",Oc1ccc(CN2CC(CNc3ccccc3)C3(C2)CN(c2ccccc2)C3)cc1,IC50,'=',230000.0,nM,,Outside typical range,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,3.64
CHEMBL4744339,,,499.51,0.0,4.57,89,O=C(Cc1cc(F)c(O)c(F)c1)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1ccc(F)cc1)C2,IC50,'=',2700.0,nM,5.57,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,5.57
CHEMBL4799348,,,482.51,0.0,3.82,94,O=C(Cc1ccc(O)cn1)N1CC(CNc2ccc(F)cc2)C2(C1)CN(c1cc(F)cc(F)c1)C2,IC50,'=',36.0,nM,7.44,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,7.44
CHEMBL1782196,,,428.75,0.0,3.32,16.12,Cl.NC1=NC(c2ccccc2Cl)NC(NCCCOc2ccc(Cl)cc2)=N1,IC50,'=',6660.0,nM,5.18,,,UO_0000065,0,CHEMBL1785111,cell-based format,,CHEMBL1781907,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine and cycloguanil-resistant Plasmodium falciparum FCR-3/Gambia ring stage infected in human red blood cells assessed as inhibition of [3H]-hypoxanthine incorporation incubated 24 hrs before addition of [3H]-hypoxanthine measured after 24 hrs,,,,FCR-3,FcR3,,FcR3,5.18
